Player Name, Level, Time (s), Enemies Defeated, HP, Distance
Aong,1,23.47,4,89,3660
Aong,2,35.5,5,71,5931
Aong,3,32.37,7,49,5084
Aom,1,20.66,3,93,3716
Aom,2,24.04,2,79,4375
Aom,3,30.96,7,57,5302
Erng,1,29.31,4,87,3779
Aik,1,28.1,4,90,5366
Aik,2,33.31,5,73,5533
Aik,3,30.62,7,54,5311
Lin,1,26.8,3,55,4053
Lin,2,26.45,3,7,4328
Max,1,29.01,4,64,5136
Max,2,23.25,2,28,4224
Name,1,22.08,4,80,3682
Name,2,28.23,3,46,4705
Name,3,32.02,7,4,5219
Mew,1,26.23,4,76,3431
Mew,2,30.18,3,40,4957
New,1,30.36,4,78,5728
New,2,31.5,4,46,5162
New,3,35.23,7,10,6322
Ten,1,27.63,4,72,4648
Ten,2,31.23,4,28,5407
rond_11,1,25.25,4,74,4059
rond_11,2,24.73,3,46,3765
rond_11,3,30.31,7,2,5187
12_lawe,1,26.76,4,76,4276
12_lawe,2,33.98,3,40,6247
Friday_13,1,28.31,4,74,4662
Friday_13,2,31.72,4,38,4787
14_bro,1,25.95,4,78,3954
14_bro,2,28.41,3,44,5107
15,1,29.77,4,74,4634
15,2,19.11,0,56,4533
15,3,31.31,7,10,5063
16_gogo,1,44.01,4,70,5366
16_gogo,2,26.64,4,42,4361
17,1,25.34,4,78,4580
17,2,31.04,4,50,5735
17,3,35.27,7,2,5885
18,1,36.92,5,78,6266
18,2,30.96,4,48,5177
18,3,32.47,7,6,5190
19wa,1,25.19,4,76,3835
19wa,2,30.82,4,48,5021
20,1,33.89,4,74,5444
20,2,27.75,4,46,4201
20,3,29.94,5,6,4780
twoone,1,24.04,4,76,3602
twoone,2,41.31,3,44,6383
FuFu,1,28.9,4,70,4143
FuFu,2,32.84,4,32,4504
twotree,1,22.68,4,82,3641
twotree,2,22.42,3,60,4288
twotree,3,34.78,7,20,6572
wF,1,24.02,4,80,4508
wF,2,27.82,4,48,4660
wF,3,40.28,6,2,7732
oneovertwo,1,24.79,4,78,4134
oneovertwo,2,23.18,3,54,3861
oneovertwo,3,27.88,7,16,4799
twosix,1,24.89,4,84,3590
twosix,2,29.94,4,54,5375
twosix,3,32.25,7,8,5258
two7,1,25.51,4,78,4091
two7,2,49.66,6,36,7992
e,1,25.1,4,80,4456
e,2,28.13,4,48,5177
e,3,30.66,7,6,5378
nnnnn,1,29.27,4,78,5552
nnnnn,2,34.59,4,44,6711
treeZeroBrooooo,1,41.35,4,78,8109
treeZeroBrooooo,2,33.57,4,46,5695
treeZeroBrooooo,3,35.18,6,2,5456
TO,1,20.57,4,84,3524
TO,2,28.15,4,54,4969
TO,3,38.85,7,2,6536
T_T,1,25.16,5,74,3840
T_T,2,31.46,4,44,6025
T,1,23.7,4,78,4194
T,2,25.7,4,52,4225
34,1,40.91,4,72,6199
34,2,35.52,4,42,7214
lestToDAy,1,22.41,4,82,3540
lestToDAy,2,36.53,4,50,6326
lestToDAy,3,37.18,6,4,5927
treesix,1,21.9,4,80,4037
treesix,2,30.86,4,54,5372
treesix,3,32.9,7,14,5342
three_sev,1,22.21,4,84,3766
three_sev,2,24.96,4,58,3977
three_sev,3,36.84,6,18,6429
Three_ei,1,23.96,4,78,3606
Three_ei,2,34.47,4,46,5761
three_n,1,24.72,4,76,3922
three_n,2,25.96,4,50,4615
three_n,3,30.56,7,10,4985
f_leaw_bro,1,21.87,4,80,3599
f_leaw_bro,2,38.82,5,44,5908
f_leaw_bro,3,30.11,7,2,4980
FOneZa,1,37.91,4,78,6305
FOneZa,2,89.33,4,48,4484
FT_EIEIi,1,21.93,4,82,3522
FT_EIEIi,2,26.17,4,52,3957
FT_EIEIi,3,33.37,7,8,5769
FTHREE,1,20.64,4,86,3785
FTHREE,2,34.08,4,50,5260
FUFUTWO,1,158.17,4,34,15886
fThree,1,23.67,4,82,4052
fThree,2,26.42,4,54,4431
FS_BRO,1,22.57,4,78,3708
FS_BRO,2,27.88,4,48,4551
FS_BRO,3,33.68,6,6,5550
Fsev,1,21.71,4,80,3701
Fsev,2,27.62,4,50,4376
FEI,1,23.65,4,82,3930
FEI,2,26.78,4,52,4300
FEI,3,31.87,7,8,5192
FN__,1,22.77,4,82,3739
FN__,2,27.14,4,52,4379
FN__,3,42.77,7,6,6922
lastbro,1,19.89,4,86,3511
lastbro,2,27.84,3,60,5023
lastbro,3,32.68,7,14,5807
,1,27.94,3,82,5002
,2,26.32,4,58,4493
,3,38.51,7,2,6917
Aonggg,1,23.01,4,82,3721
Aonggg,2,27.65,4,54,4622
test_more,1,22.23,4,84,3774
test_more,2,27.02,4,62,4799
test_more,3,32.14,7,24,5486
AOng,1,23.1,4,84,4096
AOng,2,42.9,5,38,7405
A,1,21.84,4,80,4206
A,2,25.25,4,54,4441
A,3,42.21,7,2,6835
AOOO,1,18.78,4,82,3558
lll,1,24.51,4,76,3570
lll,2,28.71,4,42,4616
BEBE,1,20.88,4,84,3653
BEBE,2,30.64,4,58,5485
BEBE,3,33.89,7,12,6123
AONG,1,23.54,4,78,3653
AONG,2,26.7,4,50,4068
AONG,3,32.56,7,4,5293
AONg,1,31.93,4,82,3906
AONg,2,33.7,4,54,4375
AONg,3,44.22,7,12,5449
